           1   0.0482631   0.0482631           0
           2     0.04845   0.0483565 6.60818e-05
           3    0.048376    0.048363 4.43721e-05
           4   0.0482766   0.0483414 3.81799e-05
           5   0.0482674   0.0483266 3.32879e-05
           6   0.0485108   0.0483573  3.9434e-05
           7   0.0488012   0.0484207 6.77384e-05
           8   0.0481947   0.0483925 6.48979e-05
           9   0.0484694    0.048401 5.82479e-05
          10   0.0483139   0.0483923 5.30701e-05
          11   0.0474825   0.0483096 9.24474e-05
          12   0.0486088   0.0483345 8.80416e-05
          13   0.0485244   0.0483491 8.24721e-05
          14   0.0486869   0.0483733 8.00333e-05
          15   0.0481632   0.0483593 7.59133e-05
          16   0.0486592    0.048378 7.34463e-05
          17   0.0481031   0.0483618 7.08833e-05
          18   0.0485393   0.0483717 6.76279e-05
          19   0.0486014   0.0483838 6.51404e-05
          20   0.0480392   0.0483666 6.41218e-05
